Player,ATT_RUSHING,YDS_RUSHING,TDS_RUSHING,REC_RECEIVING,YDS_RECEIVING,TDS_RECEIVING,FL_MISC,FPTS_MISC_proj,Season,pid,FPTS_MISC_real,FPTS/G_MISC
Rashaad Penny PHI,88.8,416.1,3.3,13.9,105.7,0.7,0.7,81.3,2021,17308,118.7,11.9
Qadree Ollison JAC,99.3,372.2,3.3,12.2,97.9,0.8,1.0,75.8,2021,18480,17.7,3.0
Darrynton Evans BUF,80.9,320.0,2.2,17.0,139.5,1.1,0.8,72.5,2021,19418,2.8,1.4
Rhamondre Stevenson NE,93.7,336.2,3.3,9.7,73.3,0.3,0.8,65.5,2021,22726,107.9,9.0
Boston Scott PHI,63.6,246.2,1.8,19.7,156.1,0.7,0.5,64.3,2021,17612,92.1,8.4
Marlon Mack ARI,68.4,344.4,2.8,9.7,69.0,0.2,0.5,63.0,2021,16444,11.9,2.0
Salvon Ahmed MIA,62.3,292.7,2.0,10.2,74.4,0.3,0.3,54.9,2021,19449,32.6,3.0
Kyle Juszczyk SF,12.1,42.1,0.7,22.7,230.0,2.0,0.5,53.8,2021,11798,58.8,3.9
Cordarrelle Patterson ATL,37.7,169.8,1.1,18.2,147.5,0.9,0.2,52.4,2021,11613,208.6,13.0
Jeff Wilson Jr. MIA,56.3,246.4,3.0,5.4,48.9,0.6,1.0,51.9,2021,18026,48.0,5.3
Chuba Hubbard CAR,58.9,226.9,1.8,10.7,84.3,0.3,0.8,47.8,2021,19792,125.1,7.8
Samaje Perine DEN,52.5,246.0,1.7,8.9,63.8,0.2,0.3,46.2,2021,16423,69.7,4.6
Joshua Kelley LAC,80.0,288.1,1.7,7.1,49.1,0.2,1.1,46.2,2021,19445,14.5,1.8
Kenneth Gainwell PHI,49.7,209.0,1.4,11.7,92.2,0.5,0.8,45.9,2021,23310,106.9,6.7
DeeJay Dallas SEA,40.2,160.4,1.2,14.5,105.1,0.7,0.6,43.8,2021,19521,49.6,2.9
Tony Jones Jr. DEN,62.9,203.3,1.5,9.7,75.6,0.4,0.3,43.0,2021,19482,19.6,2.0
Trayveon Williams CIN,45.4,193.8,1.2,12.5,101.8,0.5,3.0,39.9,2021,18607,6.0,1.5
Elijah Mitchell SF,41.2,184.6,1.3,8.6,74.6,0.3,0.1,39.4,2021,22813,155.5,13.0
Jerick McKinnon KC,29.9,132.0,0.7,14.8,110.2,0.6,0.2,39.0,2021,12209,29.4,3.3
Brandon Bolden LV,25.2,123.9,2.5,4.3,43.8,0.6,0.0,37.5,2021,11410,103.6,6.5
Matt Breida NYG,41.9,189.3,0.9,9.3,70.0,0.4,1.0,36.1,2021,17058,39.2,5.6
Jake Funk IND,32.9,164.8,1.1,8.2,58.5,0.2,0.3,33.6,2021,23190,0.5,0.1
Chris Evans CIN,32.3,134.8,0.8,10.6,74.3,0.2,0.2,31.8,2021,22797,42.3,4.7
Jaret Patterson WAS,40.1,179.3,1.1,5.4,37.2,0.2,0.3,31.7,2021,20155,50.9,3.6
JaMycal Hasty JAC,25.6,156.0,0.9,7.8,53.6,0.1,0.1,30.9,2021,19627,38.0,3.5
Mike Boone HOU,38.1,172.9,1.3,5.0,33.8,0.1,0.6,30.5,2021,17813,6.7,2.2
Jermar Jefferson DET,34.6,147.3,0.7,7.7,55.3,0.2,0.2,29.0,2021,20088,23.7,4.7
Anthony McFarland Jr. PIT,32.9,152.1,0.8,6.9,49.2,0.2,0.5,28.4,2021,19366,1.9,0.6
J.J. Taylor NE,18.9,140.2,1.0,4.9,34.1,0.2,0.3,26.6,2021,19438,16.5,3.3
Larry Rountree III LAC,33.1,135.0,1.3,3.8,25.4,0.1,0.2,25.8,2021,19537,15.1,1.5
Ty Montgomery NE,11.5,71.9,0.3,11.7,87.7,0.3,0.0,25.2,2021,13977,21.9,1.6
Ty Montgomery NE,11.5,71.9,0.3,11.7,87.7,0.3,0.0,25.2,2021,13977,0.0,0.0
Rico Dowdle DAL,33.0,136.0,1.0,4.0,34.0,0.0,0.0,25.0,2021,19647,,
Dare Ogunbowale HOU,12.1,84.4,0.5,9.1,77.5,0.3,0.2,25.0,2021,16879,43.6,3.4
Kene Nwangwu MIN,19.4,98.1,0.5,7.1,53.9,0.2,0.1,22.8,2021,23249,21.0,2.3
Travis Homer CHI,11.0,82.8,0.4,7.5,56.9,0.3,0.1,21.3,2021,18616,53.8,3.8
Royce Freeman LAR,24.9,111.0,0.7,4.7,28.1,0.1,0.1,20.5,2021,17245,29.6,2.5
Patrick Ricard BAL,2.0,4.7,0.1,12.1,80.6,0.8,0.4,19.1,2021,17145,16.7,2.1
C.J. Ham MIN,4.7,13.3,0.1,9.9,83.9,0.5,0.0,18.6,2021,16209,24.4,1.6
La'Mical Perine KC,28.7,106.0,0.5,3.5,23.2,0.1,0.1,17.6,2021,19333,3.1,1.6
Khalil Herbert CHI,15.8,84.3,0.4,5.1,34.9,0.1,0.1,17.2,2021,22763,71.9,4.5
Keith Smith ATL,4.3,15.2,0.1,8.2,61.3,0.3,0.0,14.4,2021,13192,13.2,1.0
Gerrid Doaks HOU,25.0,93.0,0.0,4.0,27.0,0.0,0.0,14.0,2021,23286,0.0,0.0
Jonathan Ward TEN,11.8,43.0,0.4,3.8,30.9,0.3,0.0,13.8,2021,19974,8.2,0.9
Alec Ingold MIA,4.4,13.8,0.1,6.9,57.9,0.3,0.1,13.2,2021,18571,19.6,2.8
Eno Benjamin NO,17.9,76.0,0.3,1.8,14.9,0.0,0.0,12.0,2021,19361,25.0,3.1
D'Ernest Johnson JAC,17.2,73.2,0.3,2.5,19.1,0.0,0.1,11.9,2021,19111,94.6,7.3
Ameer Abdullah LV,12.1,58.6,0.0,3.3,22.8,0.3,0.0,11.8,2021,13924,70.5,4.1
Nate McCrary GB,17.9,66.0,0.3,2.5,17.8,0.1,0.1,11.8,2021,23512,-0.1,-0.1
Demetric Felton Jr. CLE,12.4,59.8,0.5,1.7,14.0,0.0,0.0,11.1,2021,20105,41.5,2.8
Demetric Felton Jr. CLE,12.4,59.8,0.5,1.7,14.0,0.0,0.0,11.1,2021,20105,0.0,0.0
Alex Armah Jr. WAS,4.1,17.2,0.2,4.2,33.0,0.3,0.0,9.7,2021,16707,8.7,0.9
Gary Brightwell NYG,16.5,57.1,0.2,2.1,14.9,0.0,0.1,9.5,2021,23293,1.5,0.2
Andrew Beck HOU,4.9,21.2,0.2,4.3,29.2,0.2,0.0,9.2,2021,18748,0.0,0.0
Andrew Beck HOU,4.9,21.2,0.2,4.3,29.2,0.2,0.0,9.2,2021,18748,0.0,0.0
Ke'Shawn Vaughn TB,9.8,41.8,0.3,1.5,10.6,0.1,0.0,8.3,2021,19351,34.6,5.8
Michael Burton DEN,3.3,15.2,0.1,4.4,27.9,0.2,0.0,8.3,2021,14191,13.2,1.3
Trevon Wesco TEN,0.0,0.0,0.0,4.0,35.0,0.1,0.0,6.2,2021,18567,5.0,0.6
D'Onta Foreman CHI,8.7,36.7,0.2,0.9,6.7,0.0,0.0,5.8,2021,16407,89.4,9.9
Nick Bellore SEA,1.5,6.7,0.0,3.1,22.3,0.2,0.0,5.5,2021,10978,0.0,0.0
Corey Clement ARI,4.3,17.7,0.2,1.9,14.6,0.1,0.0,5.5,2021,16446,25.9,2.4
Jason Cabinda DET,0.4,2.5,0.0,2.1,13.0,0.1,0.0,3.2,2021,17429,0.0,0.0
Khari Blasingame CHI,0.5,1.8,0.0,1.7,13.9,0.1,0.0,2.9,2021,18847,0.0,0.0
Jakob Johnson LV,0.0,0.0,0.0,1.7,14.1,0.1,0.0,2.6,2021,18673,6.3,0.9
Jonathan Williams WAS,2.3,9.8,0.0,0.9,7.0,0.0,0.0,2.1,2021,15611,18.7,3.7
Damarea Crockett NYJ,1.0,4.2,0.0,0.9,5.7,0.0,0.0,1.4,2021,18617,0.7,0.7
Austin Walter LV,0.9,3.6,0.0,0.9,6.3,0.0,0.0,1.4,2021,19032,18.0,4.5
Patrick Laird TB,0.9,3.9,0.0,0.9,5.5,0.0,0.0,1.4,2021,18332,3.6,1.2
Taquan Mizzell NYG,0.9,3.7,0.0,0.9,5.4,0.0,0.0,1.3,2021,16835,,
Godwin Igwebuike ATL,1.9,7.8,0.1,0.0,0.0,0.0,0.0,1.1,2021,17352,16.0,1.1
Patrick Taylor Jr. GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,19544,16.2,3.2
Derrick Gore WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,19113,52.1,6.5
Jonathan Taylor IND,326.7,1603.4,15.0,42.4,348.4,2.0,1.6,315.4,2022,19217,132.4,11.0
Christian McCaffrey SF,240.7,1073.2,8.1,88.3,749.6,4.1,0.5,298.1,2022,16393,313.9,18.5
Derrick Henry TEN,362.5,1621.2,13.0,26.7,213.5,1.1,1.0,279.1,2022,15514,286.3,17.9
Austin Ekeler LAC,219.8,954.1,9.0,71.5,633.1,4.7,0.7,275.2,2022,16483,319.2,18.8
Alvin Kamara NO,218.0,983.7,8.3,58.3,515.8,3.9,0.3,251.7,2022,16421,183.2,12.2
Joe Mixon CIN,288.2,1203.2,9.5,46.1,339.1,2.4,0.9,246.8,2022,16420,210.7,14.0
Najee Harris PIT,294.0,1179.5,7.5,57.4,381.2,1.9,0.4,240.2,2022,19302,203.0,11.9
Aaron Jones GB,194.8,942.7,6.2,62.8,509.2,3.7,0.8,234.8,2022,16673,219.1,12.9
D'Andre Swift PHI,220.1,931.5,6.7,65.3,486.6,2.6,1.3,227.1,2022,19210,167.1,11.9
Saquon Barkley NYG,245.2,1025.1,6.9,55.9,423.9,2.0,0.8,224.9,2022,17240,255.5,16.0
James Conner ARI,227.6,926.9,10.0,44.3,351.6,2.2,0.8,221.5,2022,16447,177.2,13.6
Javonte Williams DEN,229.5,1008.0,8.1,46.5,353.2,2.4,1.1,220.6,2022,22739,34.0,8.5
Nick Chubb CLE,247.5,1202.6,9.0,24.6,196.6,1.0,0.9,210.1,2022,17246,267.9,15.8
David Montgomery DET,229.3,931.8,7.5,44.7,348.0,2.0,0.7,206.0,2022,18239,160.7,10.0
Breece Hall NYJ,219.0,1000.7,6.8,37.0,279.4,1.4,1.2,193.6,2022,22982,105.6,15.1
Travis Etienne Jr. JAC,185.1,851.6,5.7,49.4,398.3,2.0,1.1,193.4,2022,19231,187.6,11.0
Cam Akers LAR,229.9,991.1,7.2,33.5,262.0,1.7,2.4,190.7,2022,19268,134.8,9.0
Elijah Mitchell SF,229.1,1001.6,7.6,28.8,220.6,1.4,0.3,189.9,2022,22813,42.1,8.4
Josh Jacobs LV,224.7,943.5,8.0,36.6,251.7,0.9,1.4,188.5,2022,18269,301.8,17.8
J.K. Dobbins BAL,204.1,925.4,8.0,30.5,223.8,1.4,0.5,185.2,2022,19245,77.7,9.7
Damien Harris BUF,210.4,973.6,10.0,18.7,139.3,0.6,1.2,181.9,2022,18230,82.4,7.5
Miles Sanders CAR,204.5,1034.2,6.0,29.9,212.1,1.1,1.4,179.3,2022,18283,206.7,12.2
Antonio Gibson WAS,196.9,881.2,6.8,32.8,240.4,1.4,1.5,174.7,2022,19624,142.9,9.5
AJ Dillon GB,182.1,806.9,6.7,33.5,272.1,1.5,0.8,171.7,2022,19358,153.6,9.0
Clyde Edwards-Helaire KC,181.3,789.8,5.8,36.1,271.5,2.1,1.0,169.2,2022,19325,89.8,9.0
Tony Pollard DAL,155.4,726.9,3.9,45.9,376.7,2.2,0.4,169.1,2022,18705,229.3,14.3
Dameon Pierce HOU,216.6,906.8,6.0,29.3,225.2,1.1,1.0,168.5,2022,22947,151.4,11.6
Rashaad Penny PHI,193.8,965.9,6.9,21.6,161.1,0.7,0.8,167.1,2022,17308,50.2,10.0
Devin Singletary HOU,180.3,832.7,5.8,33.8,228.6,1.4,1.0,163.8,2022,18280,159.2,9.4
Chase Edmonds TB,166.3,718.9,4.2,45.6,331.1,1.8,0.3,163.4,2022,17496,66.2,5.1
Rhamondre Stevenson NE,174.4,738.7,6.6,33.7,259.0,1.3,0.5,163.0,2022,22726,214.6,12.6
Cordarrelle Patterson ATL,134.2,601.2,4.3,44.3,398.8,2.6,0.3,162.9,2022,11613,144.2,11.1
Melvin Gordon III BAL,150.8,684.2,5.9,24.6,189.6,1.2,1.4,139.4,2022,13903,74.6,7.5
Michael Carter NYJ,133.3,556.3,3.3,32.7,269.6,1.3,0.3,125.5,2022,22728,105.5,6.6
